customer_name,rating,content,review_date,source,tags,sentiment
奚先生,5,商务招待用地不错，包间私密，菜品摆盘好看。,2026-08-27,线下,"商务宴请,环境",好评
单女士,5,红烧肉入口即化，服务员介绍得很仔细。,2026-08-27,微信,"菜品口味,服务",好评
邢先生,4,朋友聚餐选这里很合适，菜品丰富，分量也够。,2026-08-25,微信,"朋友聚餐,菜品口味",好评
董女士,4,汇海路这家宴江南停车还算方便，味道稳定。,2026-08-24,微信,"环境,菜品口味",好评
洪女士,3,菜很好吃，就是周末晚上有点慢。,2026-08-23,线下,"菜品口味,上菜速度",中评
钱先生,2,有的海鲜小贵，性价比一般。,2026-08-23,美团,"价格,海鲜",差评
诸先生,4,朋友聚餐选这里很合适，菜品丰富，分量也够。,2026-08-22,美团,"朋友聚餐,菜品口味",好评
喻女士,4,海鲜很新鲜，清蒸鲈鱼做得正好，家人都说好吃。,2026-08-21,美团,"海鲜,菜品口味,家庭聚餐",好评
嵇先生,3,菜很好吃，就是周末晚上有点慢。,2026-08-21,微信,"菜品口味,上菜速度",中评
石女士,4,汇海路这家宴江南停车还算方便，味道稳定。,2026-08-20,大众点评,"环境,菜品口味",好评
王先生,4,清蒸海鲜很鲜，配菜也入味，适合一家人吃饭。,2026-08-20,大众点评,"海鲜,家庭聚餐",好评
林女士,5,孩子过生日订了小包间，店里还准备了寿面，很贴心。,2026-08-20,美团,"生日宴,服务",好评
云先生,3,环境不错，个别菜价格偏高。,2026-08-20,微信,"环境,价格",中评
水女士,4,汇海路这家宴江南停车还算方便，味道稳定。,2026-08-19,微信,"环境,菜品口味",好评
盛先生,5,孩子过生日订了小包间，店里还准备了寿面，很贴心。,2026-08-18,美团,"生日宴,服务",好评
金女士,4,服务态度好，上菜节奏周末白天也还行。,2026-08-18,美团,服务,好评
荣先生,4,清蒸海鲜很鲜，配菜也入味，适合一家人吃饭。,2026-08-17,美团,"海鲜,家庭聚餐",好评
萧女士,5,海鲜很新鲜，清蒸鲈鱼做得正好，家人都说好吃。,2026-08-14,微信,"海鲜,菜品口味,家庭聚餐",好评
贝先生,2,周六晚餐等位加上上菜，等了挺久，希望高峰期能快一点。,2026-08-14,线下,"上菜速度,高峰期",差评
陈先生,4,服务态度好，上菜节奏周末白天也还行。,2026-08-13,大众点评,服务,好评
何先生,2,有的海鲜小贵，性价比一般。,2026-08-13,微信,"价格,海鲜",差评
沈女士,4,朋友聚餐选这里很合适，菜品丰富，分量也够。,2026-08-12,美团,"朋友聚餐,菜品口味",好评
韦先生,3,味道可以，高峰期服务员有点忙不过来。,2026-08-11,大众点评,"菜品口味,服务响应",中评
刘先生,4,海鲜很新鲜，清蒸鲈鱼做得正好，家人都说好吃。,2026-08-10,线下,"海鲜,菜品口味,家庭聚餐",好评
贝先生,5,红烧肉入口即化，服务员介绍得很仔细。,2026-08-10,线下,"菜品口味,服务",好评
吴女士,3,菜很好吃，就是周末晚上有点慢。,2026-08-10,线下,"菜品口味,上菜速度",中评
裴先生,5,环境干净上档次，包间安静，很适合家庭聚餐。,2026-08-09,线下,"环境,家庭聚餐",好评
於先生,4,汇海路这家宴江南停车还算方便，味道稳定。,2026-08-09,大众点评,"环境,菜品口味",好评
米先生,5,海鲜很新鲜，清蒸鲈鱼做得正好，家人都说好吃。,2026-08-09,微信,"海鲜,菜品口味,家庭聚餐",好评
慕女士,3,味道可以，高峰期服务员有点忙不过来。,2026-08-09,美团,"菜品口味,服务响应",中评
苗先生,5,海鲜很新鲜，清蒸鲈鱼做得正好，家人都说好吃。,2026-08-07,大众点评,"海鲜,菜品口味,家庭聚餐",好评
洪女士,2,有的海鲜小贵，性价比一般。,2026-08-07,线下,"价格,海鲜",差评
荀先生,5,海鲜很新鲜，清蒸鲈鱼做得正好，家人都说好吃。,2026-08-06,美团,"海鲜,菜品口味,家庭聚餐",好评
金女士,5,清蒸海鲜很鲜，配菜也入味，适合一家人吃饭。,2026-08-05,微信,"海鲜,家庭聚餐",好评
